"","network","number_of_edges","avg_degree","density","gamma_index","alpha_index","ccg","ccl"
"1","gg",1193,3.6820987654321,0.0056910336405442,0.615583075335397,0.42292796281952,0.253322259136213,0.225510028300726
"2","rng",785,2.42283950617284,0.00374472875760872,0.405056759545924,0.106893880712626,NA,NA
"3","mst",323,0.996913580246914,0.00154082469899059,0.166666666666667,NA,NA,NA
"4","dt",1863,5.75,0.00888717156105101,0.961300309597523,0.941905499612703,0.38212987012987,0.45480477170292
