"","network","number_of_edges","avg_degree","density","gamma_index","alpha_index","ccg","ccl"
"1","roman_south",527,2.25695931477516,0.00484326033213554,0.377777777777778,0.0656620021528525,0.0774907749077491,0.0618503401360544
"2","rng_lcp",570,2.44111349036403,0.00523844096644641,0.408602150537634,0.11194833153929,NA,NA
"3","gg_lcp",904,3.87152034261242,0.00830798356783781,0.648028673835125,0.471474703982777,0.261142061281337,0.247526683087028
"4","k4_lcp",1868,8,0.00858369098712446,1.33906810035842,1.50914962325081,0.512481947596451,0.532016246898474
